,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
105,2017,avery gennesy,avery,gennesy,texas_a&m,ol,75.0,318,9.5,33.63,5.35,24.0,20.0,91.0,8.08,5.0,,0,0,0,0,0,0,0,0,1
106,2017,nate gerry,nate,gerry,nebraska,db,73.88,218,9.25,31.25,4.58,17.0,30.5,122.0,,,,0,0,0,0,0,0,1,1,1
107,2017,shelton gibson,shelton,gibson,west_virginia,wr,71.13,191,8.88,32.0,4.5,8.0,32.0,118.0,6.83,4.2,11.79,0,0,0,0,0,0,0,0,0
108,2017,ryan glasgow,ryan,glasgow,michigan,dl,74.88,302,9.63,33.38,5.13,20.0,27.5,105.0,7.55,4.62,,0,0,0,0,0,0,0,0,1
109,2017,davon godchaux,davon,godchaux,louisiana_state,dl,75.13,310,10.25,32.38,5.27,18.0,,,,4.43,,0,0,0,0,1,1,1,0,1
110,2017,kenny golladay,kenny,golladay,northern_illinois,wr,75.75,218,9.75,32.0,4.5,18.0,35.5,120.0,7.0,4.15,,0,0,0,0,0,0,0,0,1
111,2017,zane gonzalez,zane,gonzalez,arizona_state,k_p,72.25,202,9.0,29.5,,,,,,,,0,0,1,1,1,1,1,1,1
112,2017,evan goodman,evan,goodman,arizona_state,ol,76.0,306,,,,,,,,4.81,,1,1,1,1,1,1,1,0,1
113,2017,shaquill griffin,shaquill,griffin,central_florida,db,71.75,194,8.75,32.38,4.38,17.0,38.5,132.0,6.87,4.14,,0,0,0,0,0,0,0,0,1
114,2017,nate hairston,nate,hairston,temple,lb,71.88,196,9.5,31.0,4.52,14.0,35.5,118.0,,4.45,,0,0,0,0,0,0,1,0,1
115,2017,daeshon hall,daeshon,hall,texas_a&m,dl,77.38,266,9.63,35.0,4.76,18.0,36.0,123.0,7.03,4.63,,0,0,0,0,0,0,0,0,1
116,2017,chad hansen,chad,hansen,california,wr,73.75,202,10.13,32.13,4.53,11.0,35.0,119.0,6.74,4.13,11.17,0,0,0,0,0,0,0,0,0
117,2017,sean harlow,sean,harlow,oregon_state,ol,76.13,303,9.5,32.0,5.15,26.0,30.5,105.0,8.16,4.81,,0,0,0,0,0,0,0,0,1
118,2017,charles harris,charles,harris,missouri,dl,74.63,253,9.63,32.38,4.82,21.0,32.0,109.0,7.47,4.56,,0,0,0,0,0,0,0,0,1
119,2017,connor harris,connor,harris,lindenwood_mo,lb,71.0,242,9.38,30.13,4.73,18.0,33.0,114.0,7.13,4.18,,0,0,0,0,0,0,0,0,1
120,2017,josh harvey-clemons,josh,harvey-clemons,louisville,db,76.13,217,10.38,35.38,,12.0,31.5,121.0,,,,0,0,1,0,0,0,1,1,1
121,2017,keon hatcher,keon,hatcher,arkansas,wr,73.25,212,9.5,32.0,4.64,16.0,,,,4.28,,0,0,0,0,1,1,1,0,1
