full_name,first_name,last_name,combine_year,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
tanoh_kpassagnon,tanoh,kpassagnon,2017,villanova,dl,78.88,289,10.63,35.63,4.83,23,30,128,7.46,4.69,
cooper_kupp,cooper,kupp,2017,eastern_washington,wr,73.75,204,9.5,31.5,4.62,,31,116,6.75,4.08,
forrest_lamp,forrest,lamp,2017,western_kentucky,ol,75.75,309,10.63,32.25,5,34,27.5,111,7.55,4.62,
ashton_lampkin,ashton,lampkin,2017,oklahoma_state,lb,72,189,9.38,31,4.52,19,34.5,120,,4.21,11.19
jerome_lane,jerome,lane,2017,akron,wr,74.13,226,9.75,31.5,4.6,16,35,125,6.87,4.12,
harvey_langi,harvey,langi,2017,brigham_young,dl,73.63,251,9.13,32.88,,23,33,118,7,,
brendan_langley,brendan,langley,2017,lamar_tx,lb,72.25,201,9.5,32,4.43,22,35.5,123,7.06,4.21,
marshon_lattimore,marshon,lattimore,2017,ohio_state,lb,72,193,8.88,31.25,4.36,,38.5,132,,4.12,11.45
carl_lawson,carl,lawson,2017,auburn,dl,73.63,261,10.38,31.5,4.67,35,33,114,7.46,4.62,
javarius_leamon,javarius,leamon,2017,south_carolina_state,ol,78.75,332,9.63,35.25,,22,23.5,,,,
jeremiah_ledbetter,jeremiah,ledbetter,2017,arkansas,dl,74.88,280,10,34.25,4.84,29,32.5,113,7.55,4.47,12.14
cameron_lee,cameron,lee,2017,illinois_state,ol,76.63,312,10.88,33.88,5.44,18,25.5,100,8.02,4.75,
elijah_lee,elijah,lee,2017,kansas_state,lb,75,228,,,,,,,,4.3,
marquel_lee,marquel,lee,2017,wake_forest,lb,75.25,240,9.5,32.5,,25,31,118,,,
jordan_leggett,jordan,leggett,2017,clemson,fb_te,77,258,10.38,33.5,,18,33,114,7.12,4.33,12.34
mitch_leidner,mitch,leidner,2017,minnesota,qb,75.38,226,10,33.75,4.93,,34.5,123,6.96,4.25,
corey_levin,corey,levin,2017,tennessee-chattanooga,ol,75.75,307,10.88,33.5,5.16,26,26.5,106,7.55,4.73,
jourdan_lewis,jourdan,lewis,2017,michigan,lb,70,188,9.25,31.63,4.54,15,34.5,121,,,
william_likely,william,likely,2017,maryland,db,67.13,180,9.5,29,,15,,,,,
sefo_liufau,sefo,liufau,2017,colorado,qb,75.38,232,10.75,33.5,5.08,,27,105,7.32,4.45,
tj_logan,tj,logan,2017,north_carolina,rb,69.13,196,9,32,4.37,17,33.5,121,,4.43,12
shalom_luani,shalom,luani,2017,washington_state,db,71.38,202,9.75,32,4.55,12,31,116,6.87,4.21,
keevan_lucas,keevan,lucas,2017,tulsa_ok,wr,69.13,192,9.88,31.88,4.55,11,32.5,119,7.23,4.43,
marlon_mack,marlon,mack,2017,south_florida,rb,70.75,213,9,32,4.5,15,35.5,125,,4.22,11.03
erik_magnuson,erik,magnuson,2017,michigan,ol,78,305,,,,,,,,4.94,
patrick_mahomes,patrick,mahomes,2017,texas_tech,qb,74.13,225,9.25,33.25,4.8,,30,114,6.88,4.08,
josh_malone,josh,malone,2017,tennessee,wr,74.63,208,9.63,31.38,4.4,10,30.5,121,7.05,4.19,11.32
damien_mama,damien,mama,2017,southern_california,ol,75.25,334,11,35,5.84,,24.5,96,8.51,5.38,
gabe_marks,gabe,marks,2017,washington_state,wr,70.75,189,8.75,30.38,4.56,11,29.5,117,7.01,4.2,
jojo_mathis,jojo,mathis,2017,washington,lb,74.13,266,9,33,,24,,,,,
art_maulet,art,maulet,2017,memphis,db,69.75,189,9.63,31.25,4.62,18,34.5,120,,4.22,
marcus_maye,marcus,maye,2017,florida,db,71.63,210,9.13,32.5,,,,,,4.12,11.19
christian_mccaffrey,christian,mccaffrey,2017,stanford,rb,71.25,202,9,30,4.48,10,37.5,121,6.57,4.22,11.03
conor_mcdermott,conor,mcdermott,2017,ucla,ol,80.13,307,11,34.75,5.18,,28.5,105,7.52,4.58,
malik_mcdowell,malik,mcdowell,2017,michigan_state,dl,77.75,295,10.5,34.75,4.85,23,28.5,112,7.69,,
elijah_mcguire,elijah,mcguire,2017,louisiana-lafayette,rb,69.75,214,9,31,4.53,15,36,120,7.26,4.56,
takkarist_mckinley,takkarist,mckinley,2017,ucla,dl,74.13,250,9.75,34.75,4.59,24,33,122,7.48,4.32,11.83
raekwon_mcmillan,raekwon,mcmillan,2017,ohio_state,lb,73.75,240,9.75,33,4.61,23,33,121,7.15,,
jeremy_mcnichols,jeremy,mcnichols,2017,boise_state,rb,68.63,214,10,31.5,4.49,,35.5,121,6.93,4.28,
obi_melifonwu,obi,melifonwu,2017,connecticut,db,76,224,9.13,32.5,4.4,17,44,141,,,
matt_milano,matt,milano,2017,boston_college,lb,72.25,223,9.38,32,4.67,24,35,126,,4.38,
joe_mixon,joe,mixon,2017,oklahoma,rb,73,226,,,,,,,,,
fabian_moreau,fabian,moreau,2017,ucla,lb,71.88,206,9,31.38,4.35,,38,136,6.94,4.12,
drew_morgan,drew,morgan,2017,arkansas,wr,71.75,190,9.5,30.38,4.74,10,30,112,6.85,4.12,11.31
jordan_morgan,jordan,morgan,2017,kutztown_pa,ol,74.75,309,10,34.63,5.36,21,27,102,8.13,4.73,11.71
avery_moss,avery,moss,2017,youngstown_state_oh,dl,75.13,264,10.38,34.5,4.79,14,32.5,114,7.25,4.62,
taylor_moton,taylor,moton,2017,western_michigan,ol,77.38,319,10.63,34.13,5.18,23,30.5,109,7.73,4.58,
al-quadin_muhammad,al-quadin,muhammad,2017,miami_fl,dl,75.25,253,9.38,33.25,4.88,22,30.5,117,7.25,4.37,
levon_myers,levon,myers,2017,northern_illinois,ol,77,309,,,,,,,,5.06,
jalen_myrick,jalen,myrick,2017,minnesota,lb,69.63,200,8.75,31.63,4.28,13,37.5,124,7.06,4.22,11.84
montae_nicholson,montae,nicholson,2017,michigan_state,db,73.63,212,9.5,33.38,4.42,,35,125,,4.19,
hardy_nickerson,hardy,nickerson,2017,illinois,lb,71.75,232,10,32,4.78,18,33,116,,4.21,
david_njoku,david,njoku,2017,miami_fl,fb_te,75.75,246,10,35.25,4.64,21,37.5,133,6.97,4.34,
speedy_noil,speedy,noil,2017,texas_a&m,wr,71.13,199,9.25,30,,18,43.5,133,,,
bradley_northnagel,bradley,northnagel,2017,california,fb_te,74,243,10,32.5,5.3,,25.5,99,,4.33,
noble_nwachukwu,noble,nwachukwu,2017,west_virginia,dl,73,268,9,33.13,4.83,27,30.5,110,,4.37,
ifeadi_odenigbo,ifeadi,odenigbo,2017,northwestern,dl,75.13,258,10.5,32.63,4.72,25,31.5,128,7.26,,
dare_ogunbowale,dare,ogunbowale,2017,wisconsin,rb,70.75,213,9.13,31.38,4.65,14,35,120,6.99,4.34,11.75
larry_ogunjobi,larry,ogunjobi,2017,north_carolina_charlotte,dl,74.63,305,10,32.63,4.97,26,32,116,7.55,4.72,
tyler_orlosky,tyler,orlosky,2017,west_virginia,ol,75.13,298,9.75,32.25,,24,,,,3.89,11.14
scott_orndoff,scott,orndoff,2017,pittsburgh,fb_te,76.75,253,10,33.25,4.84,17,27,112,7.37,4.45,
zach_pascal,zach,pascal,2017,old_dominion_va,wr,73.75,219,10,32,4.55,14,36,126,7.11,4.29,
jabrill_peppers,jabrill,peppers,2017,michigan,lb,71.38,213,9.63,30.75,4.46,19,35.5,128,,,
samaje_perine,samaje,perine,2017,oklahoma,rb,70.63,233,10,30.38,4.65,30,33,116,7.26,4.37,
nathan_peterman,nathan,peterman,2017,pittsburgh,qb,74.63,226,9.88,32,4.82,,31,110,7.14,4.31,
caleb_peterson,caleb,peterson,2017,north_carolina,ol,77,300,,,,,,,,4.84,
carroll_phillips,carroll,phillips,2017,illinois,dl,75.25,242,9.75,33,4.64,23,30,123,7.06,4.41,
antonio_pipkin,antonio,pipkin,2017,tiffin_oh,qb,73,225,10,32.25,,,,,,,
hayden_plinke,hayden,plinke,2017,texas-el_paso,fb_te,75.75,264,10,32.5,4.97,18,28,109,7.55,4.59,
ethan_pocic,ethan,pocic,2017,louisiana_state,ol,78,310,10.13,33.13,5.15,26,27,107,7.89,4.81,
ejuan_price,ejuan,price,2017,pittsburgh,dl,70.88,241,10,32.75,4.84,20,31.5,117,,4.31,11.84
donnel_pumphrey,donnel,pumphrey,2017,san_diego_state,rb,68.25,176,8.5,29,4.48,5,33.5,117,,4.46,12.03
